Team,No.,Driver,Rounds
Caterham F1 Team,9,Marcus Ericsson,1–16
Caterham F1 Team,46,Will Stevens,19
Caterham F1 Team,10,Kamui Kobayashi,"1–11, 13–16, 19"
Caterham F1 Team,45,André Lotterer,12
Scuderia Ferrari,7,Kimi Räikkönen,All
Scuderia Ferrari,14,Fernando Alonso,All
SaharaForce India F1 Team,11,Sergio Pérez,All
SaharaForce India F1 Team,27,Nico Hülkenberg,All
Lotus F1 Team,8,Romain Grosjean,All
Lotus F1 Team,13,Pastor Maldonado,All
Marussia F1 Team,4,Max Chilton,1–16
Marussia F1 Team,42,Alexander Rossi,12
Marussia F1 Team,17,Jules Bianchi,1–15
Marussia F1 Team,42,Alexander Rossi,16
McLaren Mercedes,20,Kevin Magnussen,All
McLaren Mercedes,22,Jenson Button,All
Mercedes AMGPetronasF1 Team,6,Nico Rosberg,All
Mercedes AMGPetronasF1 Team,44,Lewis Hamilton,All
InfinitiRed Bull Racing,1,Sebastian Vettel,All
InfinitiRed Bull Racing,3,Daniel Ricciardo,All
Sauber F1 Team,21,Esteban Gutiérrez,All
Sauber F1 Team,99,Adrian Sutil,All
Scuderia Toro Rosso,25,Jean-Éric Vergne,All
Scuderia Toro Rosso,26,Daniil Kvyat,All
WilliamsMartiniRacing,19,Felipe Massa,All
WilliamsMartiniRacing,77,Valtteri Bottas,All
