Team,No.,Driver,Rounds
VodafoneMcLaren Mercedes,1,Jenson Button,All
VodafoneMcLaren Mercedes,2,Lewis Hamilton,All
Mercedes GPPetronasF1 Team,3,Michael Schumacher,All
Mercedes GPPetronasF1 Team,4,Nico Rosberg,All
Red Bull Racing,5,Sebastian Vettel,All
Red Bull Racing,6,Mark Webber,All
Scuderia FerrariMarlboro,7,Felipe Massa,All
Scuderia FerrariMarlboro,8,Fernando Alonso,All
AT&TWilliams,9,Rubens Barrichello,All
AT&TWilliams,10,Nico Hülkenberg,All
Renault F1 Team,11,Robert Kubica,All
Renault F1 Team,12,Vitaly Petrov,All
Force India F1 Team,14,Adrian Sutil,All
Force India F1 Team,15,Vitantonio Liuzzi,All
Scuderia Toro Rosso,16,Sébastien Buemi,All
Scuderia Toro Rosso,17,Jaime Alguersuari,All
Lotus Racing,18,Jarno Trulli,All
Lotus Racing,19,Heikki Kovalainen,All
Hispania Racing F1 Team,20,Karun Chandhok,1–10
Hispania Racing F1 Team,20,Christian Klien,"15, 18–19"
Hispania Racing F1 Team,20,Sakon Yamamoto,"11–14, 16–17"
Hispania Racing F1 Team,21,Sakon Yamamoto,10
Hispania Racing F1 Team,21,Bruno Senna,"1–9, 11–19"
BMW Sauber F1 Team,22,Pedro de la Rosa,1–14
BMW Sauber F1 Team,22,Nick Heidfeld,15–19
BMW Sauber F1 Team,23,Kamui Kobayashi,All
Virgin Racing,24,Timo Glock,All
Virgin Racing,25,Lucas di Grassi,All
