Pos,Team,BHR R1,AUS R1,MAL R1,CHN R1,ESP R1,MON R1,TUR R1,CAN R1,EUR R1,GBR R1,GER R1,HUN R1,BEL R1,ITA R1,SIN R1,JPN R1,KOR R1,BRA R1,ABU R1,Points
1,Red Bull-Renault,4,Ret,1,6,3,2,Ret,4,1,7,3,3,15,4,2,1,Ret,1,1,498
1,Red Bull-Renault,8,9,2,8,1,1,3,5,Ret,1,6,1,2,6,3,2,Ret,2,8,498
2,McLaren-Mercedes,7,1,8,1,5,Ret,2,2,3,4,5,8,Ret,2,4,4,12,5,3,454
2,McLaren-Mercedes,3,6,6,2,14,5,1,1,2,2,4,Ret,1,Ret,Ret,5,2,4,2,454
3,Ferrari,2,3,7,9,6,4,7,15,11,15,2,4,4,3,8,Ret,3,15,10,396
3,Ferrari,1,4,13,4,2,6,8,3,8,14,1,2,Ret,1,1,3,1,3,7,396
4,Mercedes,6,10,Ret,10,4,12,4,11,15,9,9,11,7,9,13,6,4,7,Ret,214
4,Mercedes,5,5,3,3,13,7,5,6,10,3,8,Ret,6,5,5,17,Ret,6,4,214
5,Renault,11,2,4,5,8,3,6,7,5,Ret,7,Ret,3,8,7,Ret,5,9,5,163
5,Renault,Ret,Ret,Ret,7,11,13,15,17,14,13,10,5,9,13,11,Ret,Ret,16,6,163
6,Williams-Cosworth,10,8,12,12,9,Ret,14,14,4,5,12,10,Ret,10,6,9,7,14,12,69
6,Williams-Cosworth,14,Ret,10,15,16,Ret,17,13,Ret,10,13,6,14,7,10,Ret,10,8,16,69
7,Force India-Mercedes,12,Ret,5,11,7,8,9,10,6,8,17,Ret,5,16,9,Ret,Ret,12,13,68
7,Force India-Mercedes,9,7,Ret,Ret,15,9,13,9,16,11,16,13,10,12,Ret,Ret,6,Ret,Ret,68
8,BMW Sauber-Ferrari,Ret,12,DNS,Ret,Ret,Ret,11,Ret,12,Ret,14,7,11,14,Ret,8,9,17,11,44
8,BMW Sauber-Ferrari,Ret,Ret,Ret,Ret,12,Ret,10,Ret,7,6,11,9,8,Ret,Ret,7,8,10,14,44
9,Toro Rosso-Ferrari,16,Ret,11,Ret,Ret,10,16,8,9,12,Ret,12,12,11,14,10,Ret,13,15,13
9,Toro Rosso-Ferrari,13,11,9,13,10,11,12,12,13,Ret,15,Ret,13,15,12,11,11,11,9,13
10,Lotus-Cosworth,17,DNS,17,Ret,17,15,Ret,Ret,21,16,Ret,15,19,Ret,Ret,13,Ret,19,21,0
10,Lotus-Cosworth,15,13,NC,14,DNS,Ret,Ret,16,Ret,17,Ret,14,16,18,16,12,13,18,17,0
11,HRT-Cosworth,Ret,14,15,17,Ret,14,20,18,18,19,Ret,19,20,19,Ret,16,15,22,20,0
11,HRT-Cosworth,Ret,Ret,16,16,Ret,Ret,Ret,Ret,20,20,19,17,Ret,Ret,Ret,15,14,21,19,0
12,Virgin-Cosworth,Ret,Ret,Ret,DNS,18,Ret,18,Ret,19,18,18,16,18,17,Ret,14,Ret,20,Ret,0
12,Virgin-Cosworth,Ret,Ret,14,Ret,19,Ret,19,19,17,Ret,Ret,18,17,20,15,DNS,Ret,NC,18,0
