Pos.,No.,Driver,Team,Time,Grid
1,3,Aaro Vainio,Lotus GP,1:28.008,1
1,18,Kevin Ceccon,Ocean Racing Technology,1.28.922,2
2,29,Tamás Pál Kiss,AtechCRS Grand Prix,1:28.123,3
2,4,Mitch Evans,MWArden,1:29.108,4
3,5,David Fumanelli,MWArden,1:28.218,5
3,14,Marlon Stöckinger,Status Grand Prix,1:29.152,6
4,1,Daniel Abt,Lotus GP,1:28.653,7
4,2,Conor Daly,Lotus GP,1:29.246,8
5,27,António Félix da Costa,Carlin Motorsport,1:28.667,9
6,9,Tio Ellinas,MarussiaManor Racing,1:29.029,10
6,16,Alice Powell,Status Grand Prix,1:30.400,11
7,15,Kotaro Sakurai,Status Grand Prix,1:29.248,12
7,26,Alex Brundle,Carlin,1:30.436,13
8,21,Patric Niederhauser,Jenzer Motorsport,1:29.952,14
5,28,William Buller,Carlin,1:29.757,15
8,8,Fabiano Machado,MarussiaManor Racing,1:30.637,16
9,7,Dmitry Suranovich,MarussiaManor Racing,1:30.610,17
9,20,Robert Visoiu,Jenzer Motorsport,1:30.782,18
10,23,Vicky Piria,Trident Racing,1:31.023,19
10,30,John Wartique,AtechCRS Grand Prix,1:31.427,20
11,31,Ethan Ringel,AtechCRS Grand Prix,1:31.144,21
11,24,Antonio Spavone,Trident Racing,1:31.474,22
12,19,Robert Cregan,Ocean Racing Technology,1:33.163,23
12,22,Jakub Klášterka,Jenzer Motorsport,1:32.061,24
13,17,Carmen Jordá,Ocean Racing Technology,1:34.793,25
13,6,Matias Laine,MWArden,1:49.760,26
