Pos.,No.,Driver,Team,Time,Grid
1,4,Nyck de Vries,ART Grand Prix,1:20.676,1
1,11,Callum Ilott,Sauber Junior Team by Charouz,1:21.462,2
2,8,Luca Ghiotto,UNI-Virtuosi,1:20.924,3
2,9,Mick Schumacher,Prema Racing,1:21.469,4
3,5,Sérgio Sette Câmara,DAMS,1:21.537,5
4,10,Sean Gelael,Prema Racing,1:21.598,6
4,19,Anthoine Hubert,BWT Arden,1:21.675,7
3,6,Nicholas Latifi,DAMS,1:21.130,8
5,2,Nobuharu Matsushita,Carlin,1:21.807,9
5,1,Louis Delétraz,Carlin,1:21.936,10
6,16,Artem Markelov,MP Motorsport,1:22.086,11
6,3,Nikita Mazepin,ART Grand Prix,1:22.089,12
7,14,Dorian Boccolacci,Campos Racing,1:22.290,13
7,21,Ralph Boschung,Trident,1:22.233,14
8,12,Juan Manuel Correa,Sauber Junior Team by Charouz,1:22.437,15
8,7,Guanyu Zhou,UNI-Virtuosi,1:22.772,16
9,20,Giuliano Alesi,Trident,1:22.785,17
9,15,Jack Aitken,Campos Racing,1:22.877,18
10,18,Tatiana Calderón,BWT Arden,1:24.791,19
10,17,Mahaveer Raghunathan,MP Motorsport,1:26.522,20
