Pos.,No.,Driver,Team,Time,Gap,Grid
1,4,Nyck de Vries,ART Grand Prix,1:47.440,–,1
2,6,Nicholas Latifi,DAMS,1:47.700,+0.260,2
3,11,Callum Ilott,Sauber Junior Team by Charouz,1:47.737,+0.297,3
4,8,Luca Ghiotto,UNI-Virtuosi Racing,1:47.767,0.327,4
5,7,Guanyu Zhou,UNI-Virtuosi Racing,1:47.843,+0.403,5
6,5,Sérgio Sette Câmara,DAMS,1:48.031,+0.591,6
7,1,Louis Delétraz,Carlin,1:48.188,+0.748,7
8,3,Nikita Mazepin,ART Grand Prix,1:48.226,+0.786,8
9,16,Jordan King,MP Motorsport,1:48.320,+0.880,9
10,2,Nobuharu Matsushita,Carlin,1:48.396,+0.956,10
11,9,Mick Schumacher,Prema Racing,1:48.444,+1.004,11
12,15,Jack Aitken,Campos Racing,1:48.477,+1.037,12
13,10,Sean Gelael,Prema Racing,1:48.567,+1.127,13
14,20,Giuliano Alesi,Trident,1:48.850,+1.410,14
15,21,Ralph Boschung,Trident,1:48.880,+1.440,15
16,22,Artem Markelov,BWT Arden,1:49.244,+1.804,16
17,12,Matevos Isaakyan,Sauber Junior Team by Charouz,1:49.497,+2.057,17
18,18,Tatiana Calderón,BWT Arden,1:50.255,+2.815,18
19,14,Marino Sato,Campos Racing,1:50.311,+2.871,19
20,17,Mahaveer Raghunathan,MP Motorsport,1:51.949,+4.509,20
