Pos.,No.,Driver,Team,Time,Gap,Grid
1,7,Guanyu Zhou,UNI-Virtuosi,1:38.182,–,1
2,8,Luca Ghiotto,UNI-Virtuosi,1:38.410,+0.228,2
3,5,Sérgio Sette Câmara,DAMS,1:38.511,+0.329,3
4,6,Nicholas Latifi,DAMS,1:38.519,+0.337,4
5,1,Louis Delétraz,Carlin,1:38.547,+0.365,5
6,11,Callum Ilott,Sauber Junior Team by Charouz,1:38.549,+0.367,6
7,4,Nyck de Vries,ART Grand Prix,1:38.613,+0.431,7
8,15,Jack Aitken,Campos Racing,1:38.686,+0.504,8
9,2,Nobuharu Matsushita,Carlin,1:38.877,+0.695,9
10,19,Anthoine Hubert,BWT Arden,1:39.046,+0.864,10
11,12,Juan Manuel Correa,Sauber Junior Team by Charouz,1:39.071,+0.889,11
12,16,Jordan King,MP Motorsport,1:39.225,+1.043,12
13,9,Mick Schumacher,Prema Racing,1:39.227,+1.045,13
14,14,Arjun Maini,Campos Racing,1:39.512,+1.330,14
15,20,Giuliano Alesi,Trident,1:39.574,+1.392,15
16,3,Nikita Mazepin,ART Grand Prix,1:39.615,+1.433,16
17,21,Dorian Boccolacci,Trident,1:39.622,+1.440,17
18,10,Sean Gelael,Prema Racing,1:39.790,+1.608,20
19,18,Tatiana Calderón,BWT Arden,1:40.530,+2.348,18
20,17,Mahaveer Raghunathan,MP Motorsport,1:41.725,+3.543,19
