Pos.,No.,Driver,Team,Time,Gap,Grid
1,8,Luca Ghiotto,UNI-Virtuosi Racing,1:40.504,–,1
2,1,Louis Delétraz,Carlin,1:40.871,+0.367,2
3,4,Nyck de Vries,ART Grand Prix,1:40.889,+0.385,3
4,6,Nicholas Latifi,DAMS,1:40.964,+0.460,4
5,15,Jack Aitken,Campos Racing,1:41.115,+0.611,5
6,2,Nobuharu Matsushita,Carlin,1:41.137,+0.633,6
7,10,Sean Gelael,Prema Racing,1:41.254,+0.750,7
8,5,Sérgio Sette Câmara,DAMS,1:41.310,+0.806,8
9,21,Ralph Boschung,Trident,1:41.505,+1.001,9
10,9,Mick Schumacher,Prema Racing,1:41.583,+1.079,10
11,19,Anthoine Hubert,BWT Arden,1:41.596,+1.092,11
12,12,Juan Manuel Correa,Sauber Junior Team by Charouz,1:41.722,+1.218,12
13,3,Nikita Mazepin,ART Grand Prix,1:41.848,+1.344,13
14,16,Jordan King,MP Motorsport,1:41.857,+1.353,14
15,20,Giuliano Alesi,Trident,1:41.864,+1.360,15
16,14,Dorian Boccolacci,Campos Racing,1:41.918,+1.414,16
17,7,Guanyu Zhou,UNI-Virtuosi Racing,1:42.123,+1.619,17
18,11,Callum Ilott,Sauber Junior Team by Charouz,1:42.280,+1.776,18
19,18,Tatiana Calderón,BWT Arden,1:42.810,+2.306,19
20,17,Mahaveer Raghunathan,MP Motorsport,1:43.343,+2.839,20
