Pos.,No.,Driver,Team,Time,Grid
1,6,Logan Sargeant,Carlin,1:43.871,1
2,17,Ayumu Iwasa,DAMS,+0.006,2
3,9,Frederik Vesti,ART Grand Prix,+0.029,3
4,3,Jack Doohan,Virtuosi Racing,+0.163,4
5,10,Théo Pourchaire,ART Grand Prix,+0.290,5
6,11,Felipe Drugovich,MP Motorsport,+0.370,6
7,8,Jüri Vips,Hitech Grand Prix,+0.437,7
8,7,Marcus Armstrong,Hitech Grand Prix,+0.506,8
9,5,Liam Lawson,Carlin,+0.612,9
10,2,Jehan Daruvala,Prema Racing,+0.755,10
11,20,Richard Verschoor,Trident,+0.887,11
12,4,Marino Sato,Virtuosi Racing,+0.968,12
13,21,Calan Williams,Trident,+1.047,13
14,22,Enzo Fittipaldi,Charouz Racing System,+1.164,14
15,15,Roberto Merhi,Campos Racing,+1.230,15
16,12,Clément Novalak,MP Motorsport,+1.246,16
17,24,David Beckmann,Van Amersfoort Racing,+1.432,17
18,1,Dennis Hauger,Prema Racing,+1.526,18
19,25,Amaury Cordeel,Van Amersfoort Racing,+1.634,19
20,16,Roy Nissany,DAMS,+1.871,20
21,14,Olli Caldwell,Campos Racing,+1.872,21
22,23,Cem Bölükbaşı,Charouz Racing System,+1.902,22
