Pos,Team,ALB SR,ALB FR[h],BHR FR[h],BHR SR,JED SR,JED FR,IMO FR,IMO SR,MON SR,MON FR,CAT FR,CAT SR,RBR SR,RBR FR,SIL FR,SIL SR,SPA SR,SPA FR[i],HUN FR[i],HUN SR,MNZ SR,MNZ FR,BAK FR,BAK SR,LUS SR,LUS FR,YAS FR,YAS SR,Points
1,HitechTGR,3,C,3,2F,9,6,3F,2,3,4,6,,,,,,,,,,,,,,,,,,102
1,HitechTGR,14,C,10,7,15,13,12,3P,15,RetF,15,,,,,,,,,,,,,,,,,,102
2,Campos Racing,8,C,1,4,1,5,2,4F,8,5,8,P,,,,,,,,,,,,,,,,,95
2,Campos Racing,10,C,5,8,2,7,16,14,Ret,Ret,14,,,,,,,,,,,,,,,,,,95
3,MP Motorsport,4,C,2,6,4F,1F,10,7,5,10,1,,,,,,,,,,,,,,,,,,81
3,MP Motorsport,11,C,4F,11,11,14,22†,9,12,Ret,18,,,,,,,,,,,,,,,,,,81
4,Rodin Motorsport,9,C,11,1,3,8,5,1,9F,8,2F,,,,,,,,,,,,,,,,,,78
4,Rodin Motorsport,15,C,19,13,14,15,20,15,14,RetP,10,,,,,,,,,,,,,,,,,,78
5,Invicta Racing,2,C,8,3P,5,4,7,5,7,2,7,,,,,,,,,,,,,,,,,,78
5,Invicta Racing,5,C,15,17,7,12,8,17,11,7,17,,,,,,,,,,,,,,,,,,78
6,DAMS Lucas Oil,16,C,12,16,10,2P,1,6,1,1,4,,,,,,,,,,,,,,,,,,76
6,DAMS Lucas Oil,Ret,C,16,18,Ret,10,13,21,4,6,16,,,,,,,,,,,,,,,,,,76
7,ART Grand Prix,12,CP,9,5,8,3,4,12,10,Ret,5,,,,,,,,,,,,,,,,,,40
7,ART Grand Prix,Ret,C,14,14,19,16,6,16,17,Ret,13,,,,,,,,,,,,,,,,,,40
8,Prema Racing,6,C,7,9,6,9,9,8,2,3,11,,,,,,,,,,,,,,,,,,38
8,Prema Racing,7F,C,Ret,19,13,Ret,15,18,6,Ret,Ret,,,,,,,,,,,,,,,,,,38
9,AIX Racing,1,C,18,10,12,11,11,11,Ret,13,12,,,,,,,,,,,,,,,,,,11
9,AIX Racing,17,C,DSQ,22,Ret,19,18,13,Ret,Ret,NC,,,,,,,,,,,,,,,,,,11
10,Van Amersfoort Racing,13,C,6,12,17,17,14,20,18,9,3,,,,,,,,,,,,,,,,,,10
10,Van Amersfoort Racing,18,C,17,20,20,20,19,Ret,Ret,11,Ret,,,,,,,,,,,,,,,,,,10
11,Trident,Ret,C,13,15,16,18,17,10,13,12,9,,,,,,,,,,,,,,,,,,1
