Pos,Driver,ALB SR,ALB FR[h],BHR FR[h],BHR SR,JED SR,JED FR,IMO FR,IMO SR,MON SR,MON FR,CAT FR,CAT SR,RBR SR,RBR FR,SIL FR,SIL SR,SPA SR,SPA FR[i],HUN FR[i],HUN SR,MNZ SR,MNZ FR,BAK FR,BAK SR,LUS SR,LUS FR,YAS FR,YAS SR,Points
1,Alex Dunne,9,C,19,1,3,8,5,1,9F,RetP,2F,,,,,,,,,,,,,,,,,,76
2,Luke Browning,3,C,10,2F,9,6,3F,2,3,4,6,,,,,,,,,,,,,,,,,,73
3,Richard Verschoor,4,C,2,6,4F,1F,22†,9,5,Ret,1,,,,,,,,,,,,,,,,,,69
4,Leonardo Fornaroli,2,C,8,3P,7,4,7,5,7,2,7,,,,,,,,,,,,,,,,,,66
5,Jak Crawford,Ret,C,12,16,Ret,2P,1,6,4,1,4,,,,,,,,,,,,,,,,,,61
6,Arvid Lindblad,10,C,5,8,1,7,2,4F,8,5,8,P,,,,,,,,,,,,,,,,,54
7,Pepe Martí,8,C,1,4,2,5,16,14,Ret,Ret,14,,,,,,,,,,,,,,,,,,41
8,Victor Martins,Ret,CP,14,5,8,3,4,12,17,Ret,5,,,,,,,,,,,,,,,,,,37
9,Dino Beganovic,14,C,3,7,15,13,12,3P,15,RetF,15,,,,,,,,,,,,,,,,,,29
10,Gabriele Minì,7F,C,7,9,6,9,15,18,2,Ret,Ret,,,,,,,,,,,,,,,,,,20
11,Sebastián Montoya,6,C,Ret,19,13,Ret,9,8,6,3,11,,,,,,,,,,,,,,,,,,18
12,Kush Maini,16,C,16,18,10,10,13,21,1,6,16,,,,,,,,,,,,,,,,,,15
13,Oliver Goethe,11,C,4F,11,11,14,10,7,12,10,18,,,,,,,,,,,,,,,,,,12
14,Roman Staněk,5,C,15,17,5,12,8,17,11,7,17,,,,,,,,,,,,,,,,,,12
15,Joshua Dürksen,1,C,DSQ,10,12,11,11,13,Ret,Ret,NC,,,,,,,,,,,,,,,,,,11
16,Rafael Villagómez,13,C,6,12,17,17,14,Ret,18,9,3,,,,,,,,,,,,,,,,,,10
17,Ritomo Miyata,12,C,9,14,19,16,6,16,10,Ret,13,,,,,,,,,,,,,,,,,,3
18,Amaury Cordeel,15,C,11,13,14,15,20,15,14,8,10,,,,,,,,,,,,,,,,,,2
19,Sami Meguetounif,Ret,C,13,15,16,Ret,21,10,16,12,9,,,,,,,,,,,,,,,,,,1
20,Cian Shields,17,C,18,22,Ret,19,18,11,Ret,13,12,,,,,,,,,,,,,,,,,,0
21,John Bennett,18,C,17,20,20,20,19,20,Ret,11,Ret,,,,,,,,,,,,,,,,,,0
