Pos.,No.,Driver,Team,Time,Grid
1,11,Dennis Hauger,MP Motorsport,1:15.487,1
2,24,Joshua Dürksen,AIX Racing,+0.008,2
3,10,Gabriel Bortoleto,Invicta Racing,+0.114,3
4,12,Franco Colapinto,MP Motorsport,+0.161,4
5,17,Paul Aron,Hitech Pulse-Eight,+0.234,5
6,25,Taylor Barnard,AIX Racing,+0.320,6
7,20,Isack Hadjar,Campos Racing,+0.341,7
8,21,Pepe Martí,Campos Racing,+0.406,8
9,3,Oliver Bearman,Prema Racing,+0.413,9
10,9,Kush Maini,Invicta Racing,+0.424,10
11,16,Amaury Cordeel,Hitech Pulse-Eight,+0.433,11
12,2,Zak O'Sullivan,ART Grand Prix,+0.482,12
13,1,Victor Martins,ART Grand Prix,+0.508,13
14,7,Jak Crawford,DAMS Lucas Oil,+0.520,14
15,14,Enzo Fittipaldi,Van Amersfoort Racing,+0.560,15
16,4,Andrea Kimi Antonelli,Prema Racing,+0.671,16
17,22,Richard Verschoor,Trident,+0.730,17
18,15,Rafael Villagómez,Van Amersfoort Racing,+0.783,18
19,8,Juan Manuel Correa,DAMS Lucas Oil,+0.803,19
20,5,Zane Maloney,Rodin Motorsport,+0.805,20
21,6,Ritomo Miyata,Rodin Motorsport,+0.861,21
22,23,Roman Staněk,Trident,+0.975,22
