Pos.,No.,Driver,Team,Time,GridSR,GridFR
1,5,Zane Maloney,Rodin Motorsport,1:32.160,9,1
2,20,Isack Hadjar,Campos Racing,+0.089,7,2
3,17,Paul Aron,Hitech Pulse-Eight,+0.162,6,3
4,11,Dennis Hauger,MP Motorsport,+0.181,5,4
5,1,Victor Martins,ART Grand Prix,+0.188,4,5
6,4,Andrea Kimi Antonelli,Prema Racing,+0.214,151,6
7,21,Pepe Martí,Campos Racing,+0.348,3,7
8,3,Oliver Bearman,Prema Racing,+0.359,82,8
9,16,Amaury Cordeel,Hitech Pulse-Eight,+0.452,2,9
10,14,Enzo Fittipaldi,Van Amersfoort Racing,+0.460,1,10
11,24,Joshua Dürksen,AIX Racing,+0.468,10,11
12,12,Oliver Goethe,MP Motorsport,+0.512,11,12
13,2,Zak O'Sullivan,ART Grand Prix,+0.565,12,13
14,7,Jak Crawford,DAMS Lucas Oil,+0.620,13,14
15,9,Kush Maini,Invicta Racing,+0.664,14,15
16,15,Rafael Villagómez,Van Amersfoort Racing,+0.726,16,16
17,6,Ritomo Miyata,Rodin Motorsport,+0.736,17,17
18,8,Juan Manuel Correa,DAMS Lucas Oil,+0.796,18,18
19,22,Richard Verschoor,Trident,+0.816,19,19
20,23,Roman Staněk,Trident,+1.031,20,20
21,25,Niels Koolen,AIX Racing,+2.081,21,21
—,10,Gabriel Bortoleto,Invicta Racing,+19.647,223,22
