Pos.,No.,Driver,Team,Time,Gap,Grid
1,1,Charles Leclerc,ART Grand Prix,1:49.861,,1
2,3,Alexander Albon,ART Grand Prix,1:50.030,+0.169,2
3,4,Nyck de Vries,ART Grand Prix,1:50.192,+0.331,3
4,11,Jack Aitken,Arden International,1:50.218,+0.357,4
EX,22,Álex Palou,Campos Racing,1:50.371,+0.510,22
5,2,Nirei Fukuzumi,ART Grand Prix,1:50.430,+0.569,5
6,20,Arjun Maini,Jenzer Motorsport,1:50.503,+0.642,6
7,8,Sandy Stuvik,Trident,1:50.533,+0.672,7
8,9,Jake Dennis,Arden International,1:50.698,+0.837,8
9,23,Steijn Schothorst,Campos Racing,1:50.717,+0.856,9
10,5,Antonio Fuoco,Trident,1:50.733,+0.872,10
11,18,Akash Nandy,Jenzer Motorsport,1:50.749,+0.888,11
12,14,Matt Parry,Koiranen GP,1:50.781,+0.920,12
13,26,Santino Ferrucci,DAMS,1:50.783,+0.922,13
14,19,Alessio Lorandi,Jenzer Motorsport,1:50.831,+0.970,14
15,28,Kevin Jörg,DAMS,1:51.047,+1.186,15
16,27,Jake Hughes,DAMS,1:51.084,+1.223,16
17,7,Giuliano Alesi,Trident,1:51.184,+1.323,17
18,16,Matevos Isaakyan,Koiranen GP,1:51.426,+1.565,18
19,10,Tatiana Calderón,Arden International,1:51.456,+1.595,19
20,24,Konstantin Tereshchenko,Campos Racing,1:51.679,+1.818,20
21,6,Artur Janosz,Trident,1:51.881,+2.020,21
