Pos.,No.,Driver,Team,Time,Gap,Grid
1,3,Alexander Albon,ART Grand Prix,1:47.348,–,1
2,1,Charles Leclerc,ART Grand Prix,1:48.098,+0.750,71
3,8,Sandy Stuvik,Trident,1:48.290,+0.942,2
4,20,Arjun Maini,Jenzer Motorsport,1:48.393,+1.045,3
5,16,Matevos Isaakyan,Koiranen GP,1:48.539,+1.191,4
6,27,Jake Hughes,DAMS,1:48.567,+1.219,5
7,5,Antonio Fuoco,Trident,1:48.568,+1.220,6
8,18,Akash Nandy,Jenzer Motorsport,1:48.658,+1.310,13
9,2,Nirei Fukuzumi,ART Grand Prix,1:48.664,+1.316,8
10,17,Ralph Boschung,Koiranen GP,1:48.674,+1.326,9
11,7,Giuliano Alesi,Trident,1:48.749,+1.401,10
12,14,Matt Parry,Koiranen GP,1:48.758,+1.410,11
13,9,Jake Dennis,Arden International,1:48.831,+1.483,12
14,11,Jack Aitken,Arden International,1:48.855,+1.507,14
15,22,Álex Palou,Campos Racing,1:49.053,+1.705,15
16,24,Konstantin Tereshchenko,Campos Racing,1:49.138,+1.790,16
17,26,Santino Ferrucci,DAMS,1:49.269,+1.921,PL3
18,23,Steijn Schothorst,Campos Racing,1:49.358,+2.010,17
19,10,Tatiana Calderón,Arden International,1:49.733,+2.385,18
20,4,Nyck de Vries,ART Grand Prix,1:49.934,+2.586,19
21,6,Artur Janosz,Trident,1:50.005,+2.657,20
–,28,Kevin Jörg,DAMS,no time,–,21
