Pos,Team,BHR R1,SAU R1,AUS R1,EMI R1,MIA R1,ESP R1,MON R1,AZE R1,CAN R1,GBR R1,AUT R1,FRA R1,HUN R1,BEL R1,NED R1,ITA R1,SIN R1,JPN R1,USA R1,MXC R1,SAP R1,ABU R1,Points
1,Red Bull Racing - RBPT,18,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,6,1,759
1,Red Bull Racing - RBPT,19,4,Ret,2,4,2,3,2,Ret,7,Ret,4,5,2,5,6,7,2,4,3,7,3,759
2,Ferrari,1,2,1,6,2,4,2,Ret,2,1,1,5,4,3,3,2,2,3,3,5,3,2,554
2,Ferrari,2,3,Ret,Ret,3,Ret,4,Ret,5,4,Ret,Ret,6,6,8,4,3,Ret,Ret,6,4,4,554
3,Mercedes,3,5,3,4,5,3,5,3,3,3,3,2,2,4,2,3,9,5,2,2,1,5,515
3,Mercedes,4,10,4,13,6,5,8,4,4,Ret,4,3,3,Ret,4,5,14,8,5,4,2,18,515
4,Alpine - Renault,7,6,7,14,8,7,7,7,6,5,5,6,8,5,6,11,Ret,4,7,8,5,7,173
4,Alpine - Renault,9,Ret,17,Ret,11,9,12,10,9,Ret,10,8,9,7,9,Ret,Ret,7,11,19,8,Ret,173
5,McLaren - Mercedes,14,7,5,3,13,8,6,8,11,6,7,7,7,12,7,7,4,10,6,7,Ret,6,159
5,McLaren - Mercedes,15,Ret,6,18,Ret,12,13,9,15,13,9,9,15,15,17,Ret,5,11,16,9,Ret,9,159
6,Alfa Romeo - Ferrari,6,11,8,5,7,6,9,11,7,Ret,11,14,13,14,16,10,11,15,12,10,9,12,55
6,Alfa Romeo - Ferrari,10,Ret,11,15,Ret,Ret,16,Ret,8,Ret,14,16,20,Ret,Ret,13,Ret,16,Ret,13,12,15,55
7,Aston Martin Aramco - Mercedes,12,12,12,8,10,11,10,6,10,9,13,10,10,8,10,Ret,6,6,8,14,10,8,55
7,Aston Martin Aramco - Mercedes,17,13,Ret,10,17,15,14,16,12,11,17,11,11,11,14,Ret,8,12,Ret,15,11,10,55
8,Haas - Ferrari,5,9,13,9,15,14,Ret,14,17,8,6,15,14,16,13,12,12,14,9,16,13,16,37
8,Haas - Ferrari,11,WD,14,17,16,17,Ret,Ret,Ret,10,8,Ret,16,17,15,16,13,17,15,17,Ret,17,37
9,AlphaTauri - RBPT,8,8,9,7,12,10,11,5,14,14,15,12,12,9,11,8,10,13,10,11,14,11,35
9,AlphaTauri - RBPT,Ret,DNS,15,12,Ret,13,17,13,Ret,Ret,16,Ret,19,13,Ret,14,Ret,18,14,Ret,17,14,35
10,Williams - Mercedes,13,14,10,11,9,16,15,12,13,12,12,13,17,10,12,9,Ret,9,13,12,15,13,8
10,Williams - Mercedes,16,Ret,16,16,14,18,Ret,15,16,Ret,Ret,Ret,18,18,18,15,Ret,Ret,17,18,16,19,8
