Pos.,No.,Driver,Team,Time,Grid
1,7,Jolyon Palmer,DAMS,1:20.774,1
2,1,Mitch Evans,RT Russian Time,1:21.188,2
2,8,Stéphane Richelmi,DAMS,1:21.444,3
3,23,Johnny Cecotto Jr.,Trident,1:21.361,4
3,10,Stoffel Vandoorne,ART Grand Prix,1:21.508,6
4,6,Stefano Coletti,Racing Engineering,1:21.649,7
5,5,Raffaele Marciello,Racing Engineering,1:21.919,8
5,4,Julián Leal,Carlin,1:21.752,9
4,11,Daniel Abt,Hilmer Motorsport,1:21.760,10
6,19,Alexander Rossi,EQ8 Caterham Racing,1:22.146,11
6,22,Sergio Canamasas,Trident,1:21.926,12
7,15,Simon Trummer,Rapax,1:22.296,13
7,26,Arthur Pic,Campos Racing,1:22.207,14
8,16,René Binder,Arden International,"1:22,270",15
9,27,Kimiya Sato,Campos Racing,1:22.588,16
9,14,Adrian Quaife-Hobbs,Rapax,1:22.277,17
8,3,Felipe Nasr,Carlin,1:22.381,18
10,21,Tio Ellinas,MP Motorsport,1:22.681,19
11,25,Conor Daly,Venezuela GP Lazarus,1:22.997,20
11,20,Daniël de Jong,MP Motorsport,1:22.488,21
12,17,André Negrão,Arden International,1;23.178,22
10,12,Facu Regalia,Hilmer Motorsport,1:22.478,23
12,24,Nathanaël Berthon,Venezuela GP Lazarus,1:22.632,24
13,9,Takuya Izawa,ART Grand Prix,1:23.259,25
13,2,Artem Markelov,RT Russian Time,1:23.349,26
1,18,Rio Haryanto,EQ8 Caterham Racing,1:21.433,51
