Pos.,No.,Driver,Team,Time,Gap,Grid
1,2,Sergey Sirotkin,ART Grand Prix,1:22.193,–,1
2,21,Pierre Gasly,Prema Racing,1:22.209,+0.016,2
3,9,Raffaele Marciello,Russian Time,1:22.369,+0.176,3
4,20,Antonio Giovinazzi,Prema Racing,1:22.384,+0.191,PL1
5,22,Oliver Rowland,MP Motorsport,1:22.413,+0.220,4
6,5,Alex Lynn,DAMS,1:22.422,+0.229,5
7,3,Norman Nato,Racing Engineering,1:22.489,+0.296,6
8,6,Nicholas Latifi,DAMS,1:22.524,+0.331,7
9,4,Jordan King,Racing Engineering,1:22.548,+0.355,8
10,19,Marvin Kirchhöfer,Carlin,1:22.796,+0.603,9
11,10,Artem Markelov,Russian Time,1:22.805,+0.612,10
12,1,Nobuharu Matsushita,ART Grand Prix,1:22.812,+0.619,11
13,11,Gustav Malja,Rapax,1:23.065,+0.872,12
14,15,Luca Ghiotto,Trident,1:23.066,+0.873,13
15,7,Mitch Evans,Campos Racing,1:23.398,+1.205,14
16,23,Daniël de Jong,MP Motorsport,1:23.400,+1.207,15
17,18,René Binder,Carlin,1:23.465,+1.272,16
18,12,Arthur Pic,Rapax,1:23.469,+1.276,17
19,24,Nabil Jeffri,Arden International,1:23.497,+1.304,18
20,25,Jimmy Eriksson,Arden International,1:23.535,+1.342,19
21,8,Sean Gelael,Campos Racing,1:23.784,+1.591,20
22,14,Philo Paz Armand,Trident,1:28.415,+2.206,21
