Team,No.,Driver,Rounds
Invicta Racing,1,Leonardo Fornaroli,1–12
Invicta Racing,2,Roman Staněk,1–12
Campos Racing,3,Pepe Martí,1–12
Campos Racing,4,Arvid Lindblad,1–12
MP Motorsport,5,Oliver Goethe,1–12
MP Motorsport,6,Richard Verschoor,1–12
Hitech TGR,7,Luke Browning,1–12
Hitech TGR,8,Dino Beganovic,1–12
Prema Racing,9,Sebastián Montoya,1–12
Prema Racing,10,Gabriele Minì,1–12
DAMS Lucas Oil,11,Jak Crawford,1–12
DAMS Lucas Oil,12,Kush Maini,1–12
ART Grand Prix,14,Victor Martins,1–12
ART Grand Prix,15,Ritomo Miyata,1–12
Rodin Motorsport,16,Amaury Cordeel,1–12
Rodin Motorsport,17,Alex Dunne,1–12
AIX Racing,20,Joshua Dürksen,1–12
AIX Racing,21,Cian Shields,1–12
Trident,22,Sami Meguetounif,1–11
Trident,22,Laurens van Hoepen,12
Trident,23,Max Esterson,1–11
Trident,23,Martinius Stenshorne,12
Van Amersfoort Racing,24,John Bennett,1–12
Van Amersfoort Racing,25,Rafael Villagómez,1–12
