Entrant,No.,Driver name,Rounds
Invicta Racing,1,Leonardo Fornaroli,1–7
Invicta Racing,2,Roman Staněk,1–7
Campos Racing,3,Pepe Martí,1–7
Campos Racing,4,Arvid Lindblad,1–7
MP Motorsport,5,Oliver Goethe,1–7
MP Motorsport,6,Richard Verschoor,1–7
HitechTGR,7,Luke Browning,1–7
HitechTGR,8,Dino Beganovic,1–7
Prema Racing,9,Sebastián Montoya,1–7
Prema Racing,10,Gabriele Minì,1–7
DAMS Lucas Oil,11,Jak Crawford,1–7
DAMS Lucas Oil,12,Kush Maini,1–7
ART Grand Prix,14,Victor Martins,1–7
ART Grand Prix,15,Ritomo Miyata,1–7
Rodin Motorsport,16,Amaury Cordeel,1–7
Rodin Motorsport,17,Alex Dunne,1–7
AIX Racing,20,Joshua Dürksen,1–7
AIX Racing,21,Cian Shields,1–7
Trident,22,Sami Meguetounif,1–7
Trident,23,Max Esterson,1–7
Van Amersfoort Racing,24,John Bennett,1–7
Van Amersfoort Racing,25,Rafael Villagómez,1–7
