Pos.,No.,Driver,Team,Time,Grid
1,1,Charles Leclerc,Prema Racing,1:19.309,1
1,8,Alexander Albon,ART Grand Prix,1:19.321,2
2,9,Oliver Rowland,DAMS,1:19.541,3
2,6,Artem Markelov,Russian Time,1:19.647,4
3,7,Nobuharu Matsushita,ART Grand Prix,1:19.922,5
3,20,Norman Nato,Arden International,1:19.803,6
4,15,Jordan King,MP Motorsport,1:20.058,7
4,18,Nyck de Vries,Rapax,1:19.814,8
5,5,Luca Ghiotto,Russian Time,1:20.089,9
5,10,Nicholas Latifi,DAMS,1:20.042,10
6,21,Sean Gelael,Arden International,1:20.272,11
6,4,Gustav Malja,Racing Engineering,1:20.282,12
7,19,Johnny Cecotto Jr.,Rapax,1:20.413,13
7,2,Antonio Fuoco,Prema Racing,1:20.593,14
8,17,Sergio Canamasas,Trident,1:20.415,15
8,12,Robert Vișoiu,Campos Racing,1:20.867,16
9,3,Louis Delétraz,Racing Engineering,1:21.592,17
9,16,Nabil Jeffri,Trident,1:21.239,18
10,11,Ralph Boschung,Campos Racing,1:21.664,19
10,14,Sérgio Sette Câmara,MP Motorsport,1:21.271,20
