Pos.,No.,Driver,Team,Time,Grid
1,6,Artem Markelov,Russian Time,1:47.181,1
2,3,Nyck de Vries,Racing Engineering,1:47.387,2
3,2,Antonio Fuoco,Prema Racing,1:47.575,3
4,9,Oliver Rowland,DAMS,1:47.617,4
5,20,Norman Nato,Arden International,1:47.676,5
6,1,Charles Leclerc,Prema Racing,1:47.692,6
7,5,Luca Ghiotto,Russian Time,1:47.753,7
8,7,Nobuharu Matsushita,ART Grand Prix,1:47.759,8
9,14,Sérgio Sette Câmara,MP Motorsport,1:47.824,9
10,8,Alexander Albon,ART Grand Prix,1:47.957,20
11,12,Álex Palou,Campos Racing,1:48.127,10
12,10,Nicholas Latifi,DAMS,1:48.201,11
13,18,Louis Delétraz,Rapax,1:48.212,12
14,11,Lando Norris,Campos Racing,1:48.404,13
15,15,Jordan King,MP Motorsport,1:48.476,14
16,17,Santino Ferrucci,Trident,1:48.538,15
17,21,Sean Gelael,Arden International,1:48.609,16
18,4,Gustav Malja,Racing Engineering,1:48.671,17
19,19,Roberto Merhi,Rapax,1:48.794,18
20,16,Nabil Jeffri,Trident,1:50.201,19
