Pos.,No.,Driver,Team,Time,Grid
1,10,Théo Pourchaire,ART Grand Prix,1:20.985,1
1,1,Robert Shwartzman,Prema Racing,1:21.403,2
2,2,Oscar Piastri,Prema Racing,1:21.443,3
2,5,Dan Ticktum,Carlin,1:21.589,4
3,8,Jüri Vips,Hitech Grand Prix,1:21.523,5
3,21,Ralph Boschung,Campos Racing,1:21.854,6
4,16,Roy Nissany,DAMS,1:22.102,7
4,9,Christian Lundgaard,ART Grand Prix,1:21.877,8
5,4,Felipe Drugovich,UNI-Virtuosi,1:22.131,9
5,3,Guanyu Zhou,UNI-Virtuosi,1:21.912,10
6,6,Jehan Daruvala,Carlin,1:22.244,11
6,7,Liam Lawson,Hitech Grand Prix,1:21.941,12
7,14,David Beckmann,Charouz Racing System,1:22.585,13
7,17,Marcus Armstrong,DAMS,1:22.168,14
8,24,Bent Viscaal,Trident,1:22.827,15
8,11,Richard Verschoor,MP Motorsport,1:22.758,16
9,12,Lirim Zendeli,MP Motorsport,1:22.933,17
9,25,Marino Sato,Trident,1:24.091,18
10,20,Gianluca Petecof,Campos Racing,1:23.344,19
10,15,Guilherme Samaia,Charouz Racing System,1:24.302,20
11,22,Jack Aitken,HWA Racelab,1:23.353,21
—,23,Alessio Deledda,HWA Racelab,1:27.744,22
