Pos.,No.,Driver,Team,Time,Gap,Grid
1,4,Callum Ilott,UNI-Virtuosi,1:39.062,,1
2,6,Christian Lundgaard,ART Grand Prix,1:39.177,+0.115,2
3,9,Jack Aitken,Campos Racing,1:39.278,+0.216,3
4,2,Dan Ticktum,DAMS,1:39.326,+0.264,4
5,25,Luca Ghiotto,Hitech Grand Prix,1:39.362,+0.300,5
6,3,Guanyu Zhou,UNI-Virtuosi,1:39.394,+0.332,6
7,24,Nikita Mazepin,Hitech Grand Prix,1:39.410,+0.348,7
8,20,Mick Schumacher,Prema Racing,1:39.448,+0.386,8
9,11,Louis Delétraz,Charouz Racing System,1:39.474,+0.412,9
10,7,Yuki Tsunoda,Carlin,1:39.494,+0.432,10
11,21,Robert Shwartzman,Prema Racing,1:39.525,+0.463,11
12,15,Felipe Drugovich,MP Motorsport,1:39.526,+0.464,12
13,12,Pedro Piquet,Charouz Racing System,1:39.621,+0.559,13
14,23,Marino Sato,Trident,1:39.679,+0.617,14
15,1,Sean Gelael,DAMS,1:39.783,+0.721,20
16,8,Jehan Daruvala,Carlin,1:39.790,+0.728,15
17,14,Nobuharu Matsushita,MP Motorsport,1:39.961,+0.899,16
18,16,Artem Markelov,BWT HWA Racelab,1:40.094,+1.032,17
19,5,Marcus Armstrong,ART Grand Prix,1:40.299,+1.237,18
20,17,Giuliano Alesi,HWA Racelab,1:40.485,+1.423,19
21,22,Roy Nissany,Trident,1:40.615,+1.553,21
22,10,Guilherme Samaia,Campos Racing,1:41.061,+1.999,22
