Pos.,No.,Driver,Team,Time,Gap,Grid
1,14,Luca Filippi,Scuderia Coloni,1:59.444,,1
2,26,Max Chilton,Carlin,1:59.496,+0.052,2
3,10,Esteban Gutiérrez,Lotus GP,1:59.908,+0.464,3
4,8,Jolyon Palmer,iSport International,2:00.102,+0.658,4
5,5,Fabio Leimer,Racing Engineering,2:00.113,+0.669,5
6,3,Davide Valsecchi,DAMS,2:00.287,+0.843,6
7,1,Johnny Cecotto Jr.,Barwa Addax Team,2:00.335,+0.891,7
8,21,Stefano Coletti,Rapax,2:00.364,+0.920,8
9,23,Luiz Razia,Arden International,2:00.365,+0.921,9
10,18,Sergio Canamasas,Venezuela GP Lazarus,2:00.634,+1.190,10
11,16,Stéphane Richelmi,Trident Racing,2:00.671,+1.227,11
12,6,Nathanaël Berthon,Racing Engineering,2:00.695,+1.251,12
13,4,Felipe Nasr,DAMS,2:00.720,+1.276,13
14,12,Giedo van der Garde,Caterham Racing,2:00.906,+1.462,14
15,9,James Calado,Lotus GP,2:00.954,+1.510,15
16,27,Rio Haryanto,Carlin,2:01.031,+1.587,16
17,7,Marcus Ericsson,iSport International,2:01.204,+1.760,17
18,25,Nigel Melker,Ocean Racing Technology,2:01.308,+1.864,18
19,17,Julián Leal,Trident Racing,2:01.474,+2.030,19
20,15,Fabio Onidi,Scuderia Coloni,2:01.656,+2.212,26
21,22,Simon Trummer,Arden International,2:01.961,+2.517,20
22,24,Victor Guerin,Ocean Racing Technology,2:02.110,+2.666,21
23,11,Rodolfo González,Caterham Racing,2:02.260,+2.816,22
24,19,René Binder,Venezuela GP Lazarus,2:02.376,+2.932,23
25,2,Jake Rosenzweig,Barwa Addax Team,2:03.218,+3.774,24
26,20,Ricardo Teixeira,Rapax,2:04.174,+4.730,25
