Pos.,No.,Driver,Team,Time,Grid
1,2,Gabriele Minì,Prema Racing,1:23.942,1
1,23,Christian Mansell,ART Grand Prix,1:24.921,2
2,14,Luke Browning,Hitech Pulse-Eight,1:24.230,3
2,3,Arvid Lindblad,Prema Racing,1:24.940,4
3,4,Leonardo Fornaroli,Trident,1:24.295,5
3,1,Dino Beganovic,Prema Racing,1:25.078,6
4,12,Mari Boya,Campos Racing,1:24.787,7
4,31,Joseph Loake,Rodin Motorsport,1:25.443,8
5,20,Noel León,Van Amersfoort Racing,1:24.801,9
5,7,Tim Tramnitz,MP Motorsport,1:25.524,10
6,24,Laurens van Hoepen,ART Grand Prix,1:24.931,11
6,25,Nikola Tsolov,ART Grand Prix,1:25.548,12
7,10,Oliver Goethe,Campos Racing,1:25.061,13
7,5,Sami Meguetounif,Trident,1:25.574,14
8,8,Kacper Sztuka,MP Motorsport,1:25.557,15
8,27,Nikita Bedrin,AIX Racing,1:25.644,16
9,6,Santiago Ramos,Trident,1:25.590,17
9,21,Sophia Flörsch,Van Amersfoort Racing,1:25.674,18
10,22,Tommy Smith,Van Amersfoort Racing,1:25.730,19
10,29,Callum Voisin,Rodin Motorsport,1:25.992,20
11,30,Piotr Wiśnicki,Rodin Motorsport,1:25.842,21
11,17,Charlie Wurz,Jenzer Motorsport,1:26.049,22
12,18,Max Esterson,Jenzer Motorsport,1:25.995,23
12,11,Sebastián Montoya,Campos Racing,1:26.069,24
13,28,Joshua Dufek,AIX Racing,1:26.124,25
13,9,Alex Dunne,MP Motorsport,1:26.102,26
14,26,Tasanapol Inthraphuvasak,AIX Racing,1:26.316,27
14,15,Martinius Stenshorne,Hitech Pulse-Eight,1:26.594,28
15,16,Cian Shields,Hitech Pulse-Eight,1:26.362,29
—,19,James Hedley,Jenzer Motorsport,2:00.304,30
