Pos.,No.,Driver,Team,Time,Grid
1,8,George Russell,ART Grand Prix,1:49.251,1
2,4,Nyck de Vries,Pertamina Prema Theodore Racing,1:49.541,2
3,6,Nicholas Latifi,DAMS,1:49.647,3
4,1,Artem Markelov,Russian Time,1:49.869,4
5,7,Jack Aitken,ART Grand Prix,1:49.946,5
6,20,Louis Delétraz,Charouz Racing System,1:50.038,6
7,19,Lando Norris,Carlin,1:50.059,7
8,5,Alexander Albon,DAMS,1:50.155,8
9,2,Tadasuke Makino,Russian Time,1:50.180,9
10,18,Sérgio Sette Câmara,Carlin,1:50.187,10
11,10,Niko Kari,MP Motorsport,1:50.375,14
12,15,Roberto Merhi,Campos Vexatec Racing,1:50.513,11
13,21,Antonio Fuoco,Charouz Racing System,1:50.522,12
14,11,Dan Ticktum,BWT Arden,1:50.580,13
15,3,Sean Gelael,Pertamina Prema Theodore Racing,1:50.812,15
16,17,Alessio Lorandi,Trident,1:50.855,20
17,14,Luca Ghiotto,Campos Vexatec Racing,1:50.892,16
18,9,Dorian Boccolacci,MP Motorsport,1:51.037,17
19,12,Nirei Fukuzumi,BWT Arden,1:51.048,18
20,16,Arjun Maini,Trident,1:51.597,19
