Pos.,No.,Driver,Team,Time,Gap,Grid
1,8,George Russell,ART Grand Prix,1:44.469,–,1
2,5,Alexander Albon,DAMS,1:44.635,+0.166,2
3,19,Lando Norris,Carlin,1:44.781,+0.312,3
4,18,Sérgio Sette Câmara,Carlin,1:45.092,+0.623,4
5,14,Luca Ghiotto,Campos Vexatec Racing,1:45.109,+0.640,5
6,7,Jack Aitken,ART Grand Prix,1:45.143,+0.674,6
7,1,Artem Markelov,Russian Time,1:45.250,+0.781,7
8,4,Nyck de Vries,Pertamina Prema Theodore Racing,1:45.269,+0.800,8
9,20,Louis Delétraz,Charouz Racing System,1:45.278,+0.809,9
10,6,Nicholas Latifi,DAMS,1:45.482,+1.013,10
11,11,Maximilian Günther,BWT Arden,1:45.608,+1.139,11
12,3,Sean Gelael,Pertamina Prema Theodore Racing,1:45.721,+1.252,12
13,17,Santino Ferrucci,Trident,1:45.739,+1.270,13
14,9,Roberto Merhi,MP Motorsport,1:45.753,+1.284,14
15,21,Antonio Fuoco,Charouz Racing System,1:45.919,+1.450,15
16,2,Tadasuke Makino,Russian Time,1:45.945,+1.476,16
17,16,Arjun Maini,Trident,1:46.021,+1.552,17
18,12,Nirei Fukuzumi,BWT Arden,1:46.060,+1.591,18
19,15,Roy Nissany,Campos Vexatec Racing,1:46.150,+1.681,19
20,10,Ralph Boschung,MP Motorsport,1:46.500,+2.031,20
